0	0	-2.03437
0	1	-0.234237
0	3	0.0646132
0	4	-0.0565412

1	0	0.0510267
1	1	-0.794554
1	2	2.27731
1	4	1.10031

2	1	-0.505514
2	2	1.92026
2	3	0.466475
2	4	0.183908

3	0	-0.148207
3	2	0.533525
3	3	1.01698
3	4	-0.333333

4	0	-0.387438
4	1	-0.283525
4	2	1.86712
4	3	1.65012
4	4	-0.744746

5	0	0.140255
5	1	-0.493965
5	4	-0.18269

6	0	0.290258
6	1	1.47243
6	2	-2.11808
6	4	-0.977942

7	0	1.25949
7	1	0.161672
7	3	-0.037561
7	4	-0.188204

8	1	1.6777
8	2	-4.30245
8	4	-1.77371

9	1	-1
9	2	0.289738
9	3	-2.16115
9	4	2.47295

10	2	1.70475
10	3	1.96192
10	4	-1

11	0	0.290258
11	2	-2.17218
11	3	-2.2682
11	4	1.48346

12	0	0.538722
12	3	-0.693199
12	4	0.0165435

