13
0	0	-1.95702e-07	8.66841e-08
1	0	3.09061e-07	-5.20026e-07
0.5	0.5	0.00757134	1.27848
0.5	0	2.58158e-07	4.72289e-07
0.75	0.25	1.06577	-0.167518
0.25	0.25	-0.62562	0.759833


1	0	3.09061e-07	-5.20026e-07
1	1	0.999999	1.14402e-06
0.5	0.5	0.00757134	1.27848
1	0.5	1.20669e-06	-7.84034e-08
0.75	0.75	2.06455	1.34175
0.75	0.25	1.06577	-0.167518


0.5	0.5	0.00757134	1.27848
1	1	0.999999	1.14402e-06
0	1	0.999999	-1.83488e-06
0.75	0.75	2.06455	1.34175
0.5	1	0.999997	7.92962e-07
0.25	0.75	0.167508	0.594096


0	0	-1.95702e-07	8.66841e-08
0.5	0.5	0.00757134	1.27848
0	1	0.999999	-1.83488e-06
0.25	0.25	-0.62562	0.759833
0.25	0.75	0.167508	0.594096
0	0.5	3.26757e-06	-4.84009e-07


