# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
22 22 0  386
       14         2 0.16666666666666665741
       14         3 1.6479873021779667397e-17
       14         4 0
       14         5 -1.3877787807814456755e-17
       14         6 0
       14         7 -0.66666666666666651864
       14         8 0
       14         9 0
       14        10 -3.4694469519536141888e-18
       14        11 0
       14        12 4.1633363423443370266e-17
       14        13 0
       14        14 1.0000000000000000199e+30
       14        15 -0.16666666666666662966
       14        16 0
       14        17 0.16666666666666665741
       14        18 0
       14        19 0
       14        20 -2.7755575615628913511e-17
       14        21 0
       14        22 -0.66666666666666651864
       15         1 1.3877787807814456755e-17
       15         2 -1.3877787807814456755e-17
       15         3 -4.1666666666666666546e-07
       15         4 -7.6327832942979512154e-17
       15         5 0.16666666666666668517
       15         6 -0.33333333333333331483
       15         7 0.16666666666666662966
       15         8 5.5511151231257827021e-17
       15         9 5.42101086242752217e-17
       15        10 -8.3333333333333354267e-07
       15        11 0.1666666666666666019
       15        12 0.16666666666666662966
       15        13 -0.16666666666666662966
       15        14 -0.16666666666666662966
       15        15 -1.6666666666666666618e-06
       15        16 -1.6913553890773869171e-17
       15        17 1.6913553890773869171e-17
       15        18 -4.1666666666666666546e-07
       15        19 0.16666666666666671293
       15        20 -8.5022218655169372911e-17
       15        21 0.16666666666666662966
       15        22 -0.33333333333333331483
       16         8 0.16666666666666657415
       16         9 0
       16        10 3.4694469519536141888e-18
       16        11 5.2041704279304212832e-17
       16        12 0
       16        13 0.16666666666666665741
       16        14 0
       16        15 -1.6479873021779667397e-17
       16        16 1.0000000000000000199e+30
       16        17 0
       16        18 0.16666666666666662966
       16        19 -0.66666666666666640761
       16        20 0
       16        21 -0.66666666666666662966
       16        22 0
       17         8 0
       17         9 0.16666666666666657415
       17        10 -3.4694469519536141888e-18
       17        11 0
       17        12 5.2041704279304212832e-17
       17        13 0
       17        14 0.16666666666666665741
       17        15 1.6479873021779667397e-17
       17        16 0
       17        17 1.0000000000000000199e+30
       17        18 -0.16666666666666662966
       17        19 0
       17        20 -0.66666666666666640761
       17        21 0
       17        22 -0.66666666666666662966
       18         8 0
       18         9 5.5511151231257827021e-17
       18        10 -4.1666666666666677134e-07
       18        11 -0.16666666666666668517
       18        12 0.16666666666666665741
       18        13 1.3877787807814456755e-17
       18        14 0
       18        15 -4.1666666666666666546e-07
       18        16 0.16666666666666662966
       18        17 -0.16666666666666662966
       18        18 -8.3333333333333333092e-07
       18        19 0.16666666666666668517
       18        20 0.1666666666666666019
       18        21 -0.16666666666666662966
       18        22 -0.16666666666666665741
       19         8 -0.66666666666666662966
       19         9 0
       19        10 0.33333333333333342585
       19        11 -1.3333333333333339255
       19        12 0
       19        13 -2.7755575615628913511e-17
       19        14 0
       19        15 0.16666666666666674068
       19        16 -0.66666666666666640761
       19        17 0
       19        18 0.16666666666666671293
       19        19 1.0000000000000000199e+30
       19        20 0
       19        21 3.4008887462067749164e-16
       19        22 0
       20         8 0
       20         9 -0.66666666666666662966
       20        10 -0.16666666666666671293
       20        11 0
       20        12 -1.3333333333333339255
       20        13 0
       20        14 -2.7755575615628913511e-17
       20        15 -7.8083324751262144533e-17
       20        16 0
       20        17 -0.66666666666666640761
       20        18 0.1666666666666666019
       20        19 0
       20        20 1.0000000000000000199e+30
       20        21 0
       20        22 3.4008887462067749164e-16
       21         8 -2.168404344971008868e-16
       21         9 0
       21        10 0
       21        11 -1.3333333333333332593
       21        12 0
       21        13 -0.66666666666666651864
       21        14 0
       21        15 0.16666666666666665741
       21        16 -0.66666666666666662966
       21        17 0
       21        18 -0.16666666666666665741
       21        19 3.4008887462067749164e-16
       21        20 0
       21        21 1.0000000000000000199e+30
       21        22 0
       22         8 0
       22         9 -2.168404344971008868e-16
       22        10 -0.16666666666666671293
       22        11 0
       22        12 -1.3333333333333332593
       22        13 0
       22        14 -0.66666666666666651864
       22        15 -0.33333333333333331483
       22        16 0
       22        17 -0.66666666666666662966
       22        18 -0.16666666666666665741
       22        19 0
       22        20 3.4008887462067749164e-16
       22        21 0
       22        22 1.0000000000000000199e+30
